WIN,REST_DIFF,CUM_WIN_PCT_DIFF,MIN_DIFF,FGM_DIFF,FGA_DIFF,FG_PCT_DIFF,FG3M_DIFF,FG3A_DIFF,FG3_PCT_DIFF,FTM_DIFF,FTA_DIFF,FT_PCT_DIFF,OREB_DIFF,DREB_DIFF,REB_DIFF,AST_DIFF,STL_DIFF,BLK_DIFF,TOV_DIFF,PF_DIFF,PTS_DIFF,PLUS_MINUS_DIFF,OFF_RATING_DIFF
1,-1.0,0.6666666666666667,25.0,-0.5,2.8333333333333286,-0.019999999999999962,-2.916666666666666,5.5,-0.1321666666666667,11.25,8.333333333333332,0.2007500000000001,2.0,12.083333333333332,14.083333333333336,-2.666666666666668,-2.0,-2.5,-1.0,3.5,7.333333333333329,11.083333333333334,3.125368066783352
1,-1.0,0.08333333333333337,6.25,-0.9166666666666643,3.6666666666666714,-0.03833333333333333,3.5,7.0,0.001083333333333325,7.833333333333332,10.083333333333332,-0.03425,-1.166666666666666,-1.0833333333333357,-2.25,1.8333333333333321,-0.3333333333333339,-2.583333333333333,-2.083333333333332,-0.08333333333333215,9.5,-2.083333333333333,0.7963287162179995
0,1.0,-0.6666666666666667,0.0,0.0,3.3333333333333286,-0.016333333333333422,-2.0,-0.3333333333333286,-0.05333333333333329,-7.333333333333336,-7.0,-0.08399999999999996,-1.666666666666666,10.0,8.333333333333336,-0.6666666666666679,1.0,-0.666666666666667,3.0,-1.6666666666666679,-9.333333333333329,-15.333333333333332,-13.986419274801236
1,-1.0,0.25,-16.666666666666686,-2.3333333333333357,-9.25,0.01933333333333337,-3.416666666666666,-11.0,0.019999999999999962,0.08333333333333215,-1.5,0.04558333333333331,-3.666666666666666,-3.1666666666666643,-6.833333333333336,0.41666666666666785,3.5,0.08333333333333304,1.833333333333334,-7.333333333333332,-8.0,1.666666666666666,-3.3747079229883354
1,0.0,0.6666666666666666,0.0,8.333333333333329,-4.0,0.11566666666666664,3.0,0.6666666666666679,0.08566666666666667,1.3333333333333321,-2.333333333333332,0.11733333333333329,-5.333333333333332,6.9999999999999964,1.6666666666666643,8.666666666666668,0.0,0.6666666666666665,-0.33333333333333215,-0.33333333333333215,21.000000000000014,23.666666666666664,20.248574399821038
0,0.0,-0.25,0.0,0.0,-0.25,0.0012500000000000844,4.75,10.0,0.03775000000000006,-3.5,-5.75,0.09449999999999992,2.0,-4.25,-2.25,-2.25,-0.5,-3.5,2.0,6.25,1.25,-6.75,4.247044493303363
1,1.0,0.75,0.0,0.0,-3.4166666666666714,0.017000000000000015,-0.4166666666666661,1.3333333333333357,-0.024583333333333346,7.583333333333332,8.083333333333332,0.0605,2.0,8.0,10.0,5.583333333333332,-3.0,-0.583333333333333,3.916666666666668,2.5,7.166666666666671,11.0,4.710683490791553
0,0.0,0.16666666666666663,8.333333333333343,1.5833333333333357,-0.8333333333333286,0.026000000000000023,1.833333333333334,4.666666666666664,-0.0004166666666666763,-1.8333333333333321,-2.916666666666668,-0.0011666666666667602,3.833333333333332,7.5,11.333333333333336,4.25,-3.416666666666666,-1.0833333333333335,-0.16666666666666785,0.5833333333333321,3.1666666666666714,2.25,9.7894795642043
1,0.0,-0.5,0.0,0.0,5.5,-0.030250000000000055,-0.25,5.5,-0.046499999999999986,-7.25,-10.75,0.03750000000000009,2.75,0.0,2.75,-6.0,-2.5,2.75,-4.5,3.0,-7.5,-2.5,-0.34938409665359416
0,0.0,0.0,0.0,-1.0,6.0,-0.05024999999999996,3.25,5.0,0.05375000000000002,-5.25,-5.25,-0.020499999999999963,2.25,-2.25,0.0,-3.75,-0.5,3.25,-3.5,6.25,-4.0,-6.0,-2.1275337672761196
0,0.0,-0.08333333333333331,-16.666666666666686,4.166666666666664,1.4166666666666714,0.03666666666666668,-1.833333333333334,-1.75,-0.058333333333333404,-9.0,-8.0,-0.09908333333333341,-4.75,-1.0833333333333321,-5.833333333333336,7.083333333333332,-0.25,-0.4166666666666665,0.16666666666666785,1.75,-2.5,-11.166666666666668,-6.721672518332554
0,0.0,-0.25,6.25,0.5,4.75,-0.020000000000000018,3.0,6.5,0.01475000000000004,-9.25,-8.75,-0.07774999999999999,7.0,-5.5,1.5,-1.25,3.0,0.0,3.0,4.5,-5.25,-8.75,-2.1417868533497
1,0.0,0.25,0.0,-0.25,7.5,-0.04325000000000001,2.75,5.25,0.03899999999999998,-5.75,-7.75,-0.020000000000000018,3.5,-1.0,2.5,3.5,1.5,2.0,0.0,5.0,-3.5,2.25,-3.986579892846464
1,0.0,-0.050000000000000044,-5.0,3.799999999999997,1.2999999999999972,0.03789999999999999,-2.6499999999999986,-4.850000000000001,-0.01855000000000001,-3.5,-1.3999999999999986,-0.07609999999999995,-1.3499999999999996,3.3500000000000014,2.0,-2.1999999999999993,-1.1999999999999993,2.65,-1.8999999999999986,2.4499999999999993,1.4500000000000028,0.40000000000000036,1.446795352105326
0,1.0,0.3,0.0,5.299999999999997,6.25,0.024950000000000028,7.699999999999999,12.05,0.10760000000000003,-4.050000000000001,-6.600000000000001,0.022750000000000048,-1.0500000000000007,2.049999999999997,1.0,8.75,1.5999999999999996,-1.6500000000000004,-1.3999999999999986,-2.75,14.25,12.1,9.979699763277424
1,1.0,0.25,6.25,-4.0,-10.5,0.023249999999999882,-4.5,-10.0,0.003500000000000003,2.0,6.0,-0.10675000000000001,1.25,0.5,1.75,-5.25,-1.25,4.0,1.0,1.5,-10.5,0.75,-0.43135099732566573
1,0.0,0.75,13.75,-1.5499999999999972,-1.7000000000000028,-0.007049999999999945,-3.3499999999999996,0.8500000000000014,-0.09135000000000004,3.6499999999999986,0.10000000000000142,0.15885000000000005,0.05000000000000071,0.8500000000000014,0.8999999999999986,-4.199999999999999,1.6500000000000004,-0.4500000000000002,-1.8499999999999996,-0.8000000000000007,-2.799999999999997,15.9,0.8638307642203102
0,1.0,0.6,6.25,2.450000000000003,0.8499999999999943,0.022749999999999992,0.25,-9.649999999999999,0.09265000000000001,9.899999999999999,11.95,0.019499999999999962,0.4499999999999993,-1.75,-1.2999999999999972,4.550000000000001,-2.5500000000000007,1.4500000000000002,0.3000000000000007,-0.3999999999999986,15.049999999999997,-1.5,7.639351474024323
1,0.0,-0.15000000000000002,-6.25,-4.399999999999999,5.549999999999997,-0.07765,2.0,8.25,-0.02934999999999993,2.1499999999999986,3.4499999999999993,-0.021150000000000113,3.3499999999999996,-8.95,-5.600000000000001,-4.350000000000001,3.9499999999999993,1.5499999999999998,3.3500000000000014,0.1999999999999993,-4.650000000000006,-10.75,-12.219431056130318
1,0.0,-0.3,-1.25,-1.5499999999999972,1.75,-0.02845000000000003,1.5500000000000007,2.950000000000003,0.0116,-8.7,-7.899999999999999,-0.06815000000000004,-2.8000000000000007,-5.899999999999999,-8.700000000000003,-3.6000000000000014,1.25,0.9000000000000004,-0.6999999999999993,3.6000000000000014,-10.25,-15.5,-10.428718203149785
0,0.0,-0.4,12.5,-1.8999999999999986,7.549999999999997,-0.0527999999999999,1.9000000000000004,8.399999999999999,-0.01924999999999999,1.3500000000000014,3.8999999999999986,-0.04205000000000003,3.6500000000000004,6.350000000000001,10.0,-5.699999999999999,-2.6500000000000004,0.25,1.9000000000000004,6.300000000000001,-0.5499999999999972,-2.6500000000000004,-8.168987036068714
1,-1.0,0.5,0.0,7.0,-2.25,0.08800000000000002,-2.0,-11.75,0.05399999999999999,-2.75,-1.25,-0.06525000000000003,-4.5,3.25,-1.25,7.5,-0.75,0.75,2.25,1.0,9.25,8.5,4.638831288066356
1,1.0,0.5,-6.25,2.75,-9.5,0.08750000000000002,3.0,2.25,0.07324999999999998,-5.0,-9.75,0.11124999999999996,-3.0,6.25,3.25,4.5,0.5,2.75,4.0,-3.25,3.5,17.5,10.761744661721707
0,0.0,0.39999999999999997,0.0,-5.600000000000001,-3.3999999999999915,-0.04299999999999998,2.8000000000000007,11.600000000000001,-0.03160000000000002,3.1999999999999993,4.0,-0.0016000000000000458,1.0,3.3999999999999986,4.399999999999999,-5.199999999999999,0.8000000000000007,0.7999999999999998,1.4000000000000021,-3.1999999999999993,-5.200000000000003,7.4,-3.5081763928893253
0,0.0,0.0,0.0,-0.8000000000000043,10.199999999999989,-0.06740000000000002,4.0,10.8,0.015199999999999991,0.3999999999999986,-2.0,0.09240000000000004,-0.5999999999999996,1.1999999999999993,0.5999999999999943,2.200000000000003,0.0,1.6,-4.000000000000002,1.5999999999999979,2.8000000000000114,-3.0,-3.987476761019579
0,-1.0,0.6000000000000001,0.0,3.0,-0.5999999999999943,0.03700000000000003,4.0,8.2,0.030200000000000005,0.8000000000000007,1.1999999999999993,-0.0018000000000000238,-0.1999999999999993,4.0000000000000036,3.8000000000000043,2.0,-2.200000000000001,0.8000000000000007,1.0,3.1999999999999993,10.799999999999997,12.6,9.190952055965866
0,-2.0,0.0,-12.5,-2.1000000000000014,5.400000000000006,-0.052000000000000046,4.100000000000001,18.049999999999997,-0.07889999999999997,-14.85,-16.75,-0.09639999999999993,-0.75,-1.1000000000000014,-1.8500000000000014,-2.3000000000000007,-0.75,1.6500000000000004,-4.5,1.6000000000000014,-14.950000000000003,-2.8499999999999996,-8.93802983971122
1,-1.0,-0.6666666666666666,5.0,-2.1999999999999957,11.400000000000006,-0.07519999999999993,-3.200000000000001,0.7999999999999972,-0.0796,0.8000000000000007,5.399999999999999,-0.11219999999999986,5.4,2.5999999999999943,8.0,-5.399999999999999,-4.000000000000001,0.7999999999999998,-3.0,7.199999999999999,-6.799999999999997,-13.0,-11.677440550851728
0,0.0,-0.1333333333333333,5.0,3.6000000000000014,10.599999999999994,-0.016800000000000037,5.6,9.2,0.0786,-8.0,-12.000000000000004,0.02299999999999991,-2.8000000000000007,7.0,4.200000000000003,4.400000000000002,0.0,0.0,-0.1999999999999993,1.3999999999999986,4.800000000000011,-4.3999999999999995,-4.266090042890966
0,-1.0,0.0,0.0,3.3999999999999986,3.799999999999997,0.017600000000000005,2.8000000000000007,5.600000000000001,0.011400000000000021,0.20000000000000284,0.3999999999999986,-0.0040000000000000036,1.0,4.800000000000001,5.799999999999997,6.0,-0.39999999999999947,-2.0,1.4000000000000004,-3.6000000000000014,9.799999999999997,4.3999999999999995,4.34907164054421
1,-1.0,-0.6666666666666667,0.0,-1.4000000000000057,9.0,-0.06799999999999995,5.199999999999999,16.4,-0.033999999999999975,-5.0,-9.2,0.09920000000000007,0.5999999999999996,-8.400000000000002,-7.800000000000004,3.0,1.799999999999999,-1.7999999999999998,0.8000000000000007,4.0,-2.6000000000000085,-20.8,-8.430254152388756
1,1.0,1.0,5.0,5.399999999999999,4.199999999999989,0.041000000000000036,1.1999999999999993,5.799999999999997,-0.023200000000000054,-1.3999999999999986,-5.0,0.09980000000000011,-2.4000000000000004,12.399999999999999,10.0,1.6000000000000014,1.3999999999999986,2.8,-2.4000000000000004,1.1999999999999993,10.599999999999994,26.6,8.126127530274388
1,0.0,0.0,0.0,-5.399999999999999,-4.799999999999997,-0.03280000000000005,2.8000000000000007,10.399999999999999,-0.016600000000000004,6.400000000000002,8.2,0.008600000000000052,0.0,-1.7999999999999972,-1.8000000000000043,-3.3999999999999986,1.1999999999999993,0.20000000000000018,4.999999999999998,-1.3999999999999986,-1.5999999999999943,-0.9999999999999999,-5.7934323596062995
0,2.0,-0.8,-5.0,-1.3999999999999986,-0.4000000000000057,-0.014600000000000002,-0.5999999999999996,4.600000000000001,-0.05980000000000002,-7.799999999999997,-10.0,0.03759999999999997,0.1999999999999993,-4.199999999999999,-4.0,-1.6000000000000014,0.39999999999999947,-5.800000000000001,2.200000000000001,3.599999999999998,-11.200000000000003,-18.2,-7.444311724551483
1,0.0,-0.6,0.0,-5.600000000000001,3.1999999999999886,-0.0786,1.8000000000000007,11.0,-0.05500000000000005,0.0,-1.3999999999999986,0.040000000000000036,4.800000000000001,-4.200000000000003,0.6000000000000014,-6.800000000000001,-0.39999999999999947,-0.8000000000000003,-1.1999999999999993,-0.1999999999999993,-9.399999999999991,-10.8,-5.355151264630308
1,-1.0,-0.06666666666666671,-5.0,1.0,-1.0,0.015000000000000069,0.7999999999999989,-1.2000000000000028,0.032799999999999996,-5.199999999999999,-5.0,-0.03720000000000001,-5.0,-1.0,-6.0,-2.0,-0.5999999999999996,-0.20000000000000018,-2.6000000000000014,-2.3999999999999986,-2.4000000000000057,-7.6,-1.6301515261872908
1,-1.0,0.06666666666666665,0.0,-4.0,-12.200000000000003,0.028800000000000048,-5.600000000000001,-9.0,-0.06360000000000005,7.400000000000002,9.2,-0.008799999999999919,-0.8000000000000007,-4.200000000000003,-5.0,-3.0,-1.0,1.1999999999999997,1.6000000000000014,-2.1999999999999993,-6.200000000000003,-8.0,1.252775043653429
1,0.0,-0.16666666666666669,0.0,0.8000000000000043,-7.0,0.04459999999999992,0.1999999999999993,-8.800000000000004,0.08919999999999995,-2.8000000000000007,0.3999999999999986,-0.12339999999999995,-2.3999999999999995,-5.200000000000003,-7.600000000000001,-1.5999999999999979,0.20000000000000107,0.20000000000000018,1.5999999999999996,2.599999999999998,-1.0,-3.3999999999999995,1.8232147533990002
1,1.0,0.26666666666666666,5.0,3.4000000000000057,-0.3999999999999915,0.038600000000000134,-0.20000000000000107,0.7999999999999972,-0.009200000000000041,2.6000000000000014,1.1999999999999993,0.08560000000000001,1.5999999999999996,7.600000000000001,9.199999999999996,3.3999999999999986,-2.6000000000000005,1.2000000000000002,2.0,3.0,9.200000000000003,16.799999999999997,8.288685680453966
0,1.0,0.09523809523809523,-5.0,4.600000000000001,8.399999999999991,0.010999999999999899,4.599999999999998,10.0,0.03380000000000005,-14.8,-16.200000000000003,-0.05499999999999994,-0.20000000000000107,-3.799999999999997,-4.0,-2.1999999999999993,1.8000000000000007,1.8000000000000003,-7.800000000000001,1.0,-1.0,12.8,6.544123305793278
0,2.0,-0.04761904761904767,0.0,0.7999999999999972,11.0,-0.05039999999999989,3.799999999999999,9.0,0.025399999999999978,-2.3999999999999986,-3.6000000000000014,0.048799999999999955,6.200000000000001,-5.9999999999999964,0.20000000000000284,-0.3999999999999986,2.8000000000000007,1.6,-0.6000000000000014,4.600000000000001,3.0,4.4,-0.37928319170836744
0,-1.0,-0.23809523809523808,0.0,0.3999999999999986,0.7999999999999972,0.0010000000000000009,1.8000000000000007,6.600000000000001,-0.013400000000000023,-4.600000000000001,-8.400000000000002,0.09640000000000004,-5.6,-0.8000000000000043,-6.399999999999999,4.0,-1.0,-4.4,-4.399999999999999,-6.400000000000002,-2.0,-5.0,-0.37932030465306354
1,0.0,0.26666666666666666,10.0,5.0,2.0,0.04899999999999993,3.200000000000001,-3.200000000000003,0.15480000000000005,3.200000000000003,3.599999999999998,0.021399999999999975,6.0,-2.1999999999999957,3.799999999999997,2.599999999999998,1.7999999999999998,0.7999999999999998,0.3999999999999986,-1.0,16.39999999999999,17.0,18.749606094455316
0,-1.0,-0.5,0.0,-1.0,4.3999999999999915,-0.03579999999999994,0.5999999999999996,8.400000000000006,-0.06740000000000002,-2.1999999999999993,-4.200000000000003,0.06460000000000021,3.200000000000001,-1.8000000000000007,1.3999999999999986,-1.0,-0.40000000000000036,-2.9999999999999996,2.3999999999999986,-0.8000000000000007,-3.5999999999999943,-12.8,-5.38663968172466
